tweet_id,thread_id,position,rough_intent_bucket,message_text
539205,539205,opener,Account Access/Login,I need help with logging into my new account and your password reset page is not working!
2275497,2275497,opener,Account Access/Login,Why when I click login on the Spotify app it just stays there it doesn’t let me sign in @115888
908260,908260,opener,Account Access/Login,I have sent 3 requests for password recovery. All came to email in SPANISH!!! I am insulted and disgusted as I am in the USA
1841901,1841901,opener,Account Access/Login,"someone keeps hacking into devices ""yanko pc"", my old account was hacked and I think it is the same guy. I can't remove his device."
460199,460199,opener,Account Access/Login,id::93__credit_card__:@SpotifyCares My account was hacked/compromised. I’ve regained access and changed my password but I noticed there w
1810749,1810749,opener,Account Access/Login,"Hey! My dad died recently with his own Premium account, and we don't have his password. How can I cancel his subscription?"
2789416,2789416,opener,Account Access/Login,cannot reach website spotify! Cannot login anymore. Cannot reset my password. Please help
2238193,2238193,opener,Account Access/Login,Spotify will randomly connect to Web Player (which I never use). Logged out of all accounts and changed pwd - still happening.
2035332,2035332,opener,Account Access/Login,I can't log in and your website requires me to be logged in to submit a query via your contact form.
1643557,1643557,opener,Account Access/Login,hey uh @SpotifyCares my account got hacked by someone with a french email address
1808839,1808839,opener,Billing & Subscription,I'd like to suscribe my 14 yo son to premium w the student promo.. I can't cause he's not in university yet.. is it possible?
2031716,2031716,opener,Billing & Subscription,Trying to give @116130 my money and sign up to premium but they keep saying my card or provider is having a bad day. It’s not my card!
2479626,2479626,opener,Billing & Subscription,i’m trying to upgrade to spotify premium but y’all won’t accept my postal code?
2210957,2210957,opener,Billing & Subscription,Hi i was wondering if someone could help me. I signed up for a 30 day trial and i was charged the 9.99 i wanted to know why
1611534,1611534,opener,Billing & Subscription,"hey, how can I upgrade my current sub from premium to premium student without adding new payment information? /Andreas"
2047770,2047770,opener,Billing & Subscription,Spotify gave everyone with a student account a Hulu account as well so safe to say I won't be leaving the house other than for work/school
2316675,2316675,opener,Billing & Subscription,Wow @115888 just kicked me out of the student plan. I'm still a broke college student for another month !!!
2764549,2764549,opener,Billing & Subscription,Lewati tanpa batas dengan Premium. Dapatkan 3 bulan Premium kini hanya Rp 4.990.
622831,622831,opener,Billing & Subscription,I'm having trouble purchasing premium after receiving an offer for 3 mos/9.99. I would appreciate an email to reach out too. Thanks
